fitness	solution
119.4634920634921	29,43,34,32,39,2,4,43,10,43,6,15,17,39,8,36,27,29,15,4,16,31,23,11,39,30,13,23,36,4,42,41,22,31,22,20,33,32,6,23,37,28,19,17,27,28,41,4,25,44,7,24,14,33,5,36,6,38,31,6,9,8,15,24,18,8,27,5
103.7857142857143	29,43,30,32,39,28,4,43,10,43,6,15,17,11,8,31,27,29,19,4,16,3,23,42,39,30,23,41,36,4,11,33,23,31,22,40,1,14,6,23,37,4,33,5,27,28,41,37,25,16,7,24,14,33,5,36,6,38,41,14,9,12,15,24,18,21,27,7
100.59499999999998	29,43,30,32,39,28,4,43,10,37,6,15,17,11,8,31,27,2,19,13,16,3,23,42,39,30,23,41,36,4,11,33,23,31,22,40,1,14,20,15,37,4,33,5,27,28,41,37,25,16,7,24,14,33,5,36,6,38,41,14,29,12,15,24,18,21,27,7
107.93968253968252	18,43,30,32,36,2,21,8,23,27,7,35,17,24,27,16,39,29,30,13,11,11,28,31,39,44,44,30,36,4,11,41,13,9,22,20,41,33,16,23,35,4,12,25,7,19,11,14,12,21,7,25,34,44,27,36,6,16,3,35,9,23,31,16,16,8,27,43
103.9654761904762	29,7,30,19,7,30,38,1,4,43,16,15,20,11,8,36,34,2,19,17,20,11,28,11,33,44,38,41,36,20,8,3,13,9,31,40,1,14,6,37,41,4,33,41,7,37,11,39,12,21,37,27,6,44,21,30,15,16,3,29,29,12,15,24,33,21,27,5
